kernel,size,clockperiod
ac,1024,3.195
ac,2048,4.460
ac,4096,5.294
ac,8192,5.457
ac,16384,5.072
dfs,1024,2.699
dfs,2048,2.796
dfs,4096,2.847
dfs,8192,3.099
dfs,16384,3.458
dfs,32768,4.543
ll,1024,3.003
ll,2048,3.016
ll,4096,3.257
ll,8192,3.552
ll,16384,4.249
ll,32768,5.123
msort,1024,2.922
msort,2048,2.892
msort,4096,3.358
msort,8192,3.814
msort,16384,4.634
msort,32768,5.026
strassen,1024,3.816
strassen,2048,3.969
strassen,4096,4.151
strassen,8192,3.896
strassen,16384,3.896
strassen,32768,5.750
